t (s),v (m/s)
13.73033343,8.039999962
15.73868359,6.519999981
16.61917145,7.050000191
17.62012671,7.25
18.62266822,7.300000191
19.6163476,6.820000172
20.62495978,6.579999924
21.62049374,7.869999886
22.62122874,7.699999809
23.62241577,7.739999771
24.62878468,6.130000114
25.62397416,6.320000172
26.61896593,6.519999981
27.63204593,6.019999981
28.63524223,5.550000191
29.647554,5.820000172
30.62505608,6.519999981
31.64580603,6.659999847
32.64135962,7.320000172
33.61810144,7.090000153
34.63128243,6.960000038
35.62188077,6.960000038
36.63040144,6.900000095
37.63325426,6.949999809
38.62972462,6.690000057
39.63478353,7.239999771
40.61913832,6.940000057
41.62009717,7.139999866
42.63312207,6.920000076
43.624168,5.599999905
44.63281858,7.369999886
45.64106019,6.840000153
46.62325852,5.679999828
47.62663446,6.550000191
48.6378366,6.269999981
49.62837774,6.53000021
50.61866826,6.46999979
51.616898,6.559999943
52.63604998,6.619999886
53.63416696,6.789999962
54.62444883,6.449999809
55.62052347,6.449999809
56.62843878,6.21999979
57.61699217,6.199999809
58.62844315,6.079999924
59.63207253,6.050000191
60.62718925,5.650000095
61.63244644,5.650000095
62.6231806,5.590000153
63.62845779,6.329999924
64.63072248,6.150000095
65.63129857,6.21999979
66.62647914,6.409999847
67.64329596,6.489999771
68.62898711,6.139999866
69.63248706,6.53000021
70.62435778,5.929999828
71.62378617,6.420000076
72.63795799,5.980000019
73.61971315,6.269999981
74.62760508,6.139999866
75.64173476,6.010000229
76.63197658,6.25
77.62351112,5.190000057
78.62697601,5.610000134
79.62721414,5.619999886
80.6241583,5.989999771
81.64757278,5.130000114
82.62516106,6.039999962
83.62491825,5.25
84.6313519,6.659999847
85.62641377,6.309999943
86.63231596,6.690000057
87.62094689,6.869999886
88.62975304,7.099999905
89.62977679,7.389999866
90.63251783,6.809999943
91.62900007,6.550000191
92.63264028,6.619999886
93.62889231,6.46999979
94.62487809,5.550000191
95.62916449,6.75
96.63173163,6.949999809
97.63482569,7.019999981
98.62754465,7.260000229
99.63074574,6.960000038
100.633921,8.770000458
101.637163,6.570000172
102.6345572,6.900000095
103.6267135,7.150000095
104.6264714,7.25
105.6281595,7.820000172
106.6318967,7.070000172
107.63087,7.269999981
108.6284924,7.059999943
109.6223136,7.360000134
110.6193192,7.03000021
111.6308356,7.21999979
112.6260506,7.019999981
113.62413,7.510000229
114.6227889,7.260000229
115.6099002,8.180000305
116.6333647,8.029999733
117.6214423,8.100000381
118.622341,8.25
119.6352147,8.569999695
120.6300926,8.409999847
121.6269217,8.170000076
122.6324133,7.829999924
123.6267356,7.909999847
124.6327347,7.860000134
125.6168623,7.420000076
126.6145286,7.110000134
127.6159919,7.300000191
128.6147648,7.090000153
129.6292572,6.590000153
130.6325661,6.389999866
131.6341315,6.599999905
132.6180822,6.389999866
133.6161231,6.409999847
134.6314662,6.360000134
135.6324028,6.349999905
136.633744,7.440000057
137.6328739,6.650000095
138.637216,6.710000038
139.6287054,7.300000191
140.6268581,7.519999981
141.6324011,7.980000019
142.6287533,8.279999733
143.6354423,8.569999695
144.6337354,8.550000191
145.6281222,7.769999981
146.6362033,8.359999657
147.6231194,7.070000172
148.6109529,8.470000267
151.596427,0
152.597388,0
153.5965282,0
154.6001216,0
155.604312,0
156.5937856,0
157.6021528,0
158.6051557,0
159.59378,0
160.6040316,0
161.6014375,0
162.5955742,0
163.6087472,0
164.6018538,0
165.6031055,0
166.6023607,0
167.59801,0
168.5964966,0
